name,age,gender,attendance_rate,assignments_completed,midterm_score,final_exam_score,dropout
Aaron Marsh,18,Male,0.532512009755291,7,91,59,0
Jennifer Mack,25,Female,0.689723664609777,13,65,59,1
Michele Robinson,22,Female,0.5304319208019217,10,84,54,0
James Cox,21,Male,0.9058401882295566,4,95,77,0
Kevin Mcbride,23,Male,0.8694381878490103,6,50,81,1
Sandra Farmer,24,Male,0.9344015801412126,16,96,87,1
Tyler Webb,24,Male,0.8667991852771986,1,66,65,0
David Acevedo,22,Male,0.7682358326174669,7,68,43,1
Courtney Green,22,Female,0.8544459706319484,6,94,69,1
Brian Garcia,23,Male,0.7358326431539417,15,80,72,1
Donald Hall,20,Male,0.6591420169630271,16,56,61,1
Wendy Duncan,24,Female,0.5750886509745492,9,51,78,0
Susan Zimmerman,23,Female,0.8642411716695987,5,100,71,1
Danny Smith,21,Male,0.7374227992674498,10,66,93,0
Christina Wells,25,Male,0.9281210004909146,20,79,55,0
Erik Baxter,24,Male,0.7640842285522236,1,42,59,1
Alexander Mccoy,22,Female,0.7930133614337871,12,56,95,0
Courtney Mccall,25,Female,0.8485855572849099,8,82,42,1
Steven Walker,24,Male,0.6797144383011435,19,41,84,1
Christian Smith,23,Male,0.5665579541206953,17,73,64,0
Joel Jackson,18,Female,0.8403896009313668,9,79,71,0
Michael Jackson,21,Male,0.553840875292049,17,79,47,1
Jeffrey Washington,19,Male,0.5360245893881697,20,42,54,1
George Moreno,20,Male,0.6897419567631252,2,79,94,1
Michael Donovan,25,Female,0.9070013480334219,10,89,47,1
Jennifer Lopez,21,Male,0.6322078780345874,19,80,80,1
Kimberly James,19,Male,0.707418531374181,1,81,97,1
Natalie Hamilton,19,Male,0.7359397528296104,8,92,45,1
Thomas Jimenez,23,Female,0.7388396754474169,20,85,77,0
Emily Fletcher,25,Female,0.6931284390846806,15,95,93,0
Mary Ashley,23,Male,0.6919047231306455,8,87,94,0
David Butler,24,Female,0.5181705735433382,13,76,99,1
Kimberly Bryant,21,Female,0.6226940798678623,5,86,65,1
Rachel Parks,18,Male,0.9348905560208608,11,64,45,0
Brenda Garza,22,Female,0.958834402752488,8,95,51,0
Hayden Mccarty,23,Male,0.7353400863168571,0,83,58,1
April Palmer,18,Male,0.8421203367596326,5,87,77,1
Barbara Sampson,23,Male,0.9694862779461324,7,45,91,1
James Anderson,18,Female,0.8766881520692931,3,66,49,0
Paul Stewart,20,Female,0.7097175413405028,7,98,57,0
Erica Jones,19,Male,0.8168150875116326,18,63,75,0
Dale Adams,24,Male,0.7991788205383799,16,62,43,1
Cassandra Key,24,Male,0.7594553524010798,12,60,83,0
Richard Calhoun,22,Female,0.6423854969003695,12,84,43,0
Casey Garcia,23,Female,0.9522130288936417,8,52,60,0
David Caldwell,22,Female,0.8125078988083707,1,47,74,1
Mrs. Lisa Johnson MD,23,Female,0.7063118958959167,0,84,97,0
Robert Lee,23,Male,0.6241888904460047,5,60,48,1
Melissa Cooper,23,Female,0.5103044044800653,13,83,71,1
Alexa Pittman,23,Male,0.9333058060683617,18,85,93,0
Linda Lloyd,20,Female,0.7502324364775393,7,69,74,0
Steven Everett MD,24,Male,0.7376574706379686,1,52,60,1
Debra Summers,24,Male,0.692176437531715,19,49,48,0
Frank Cohen,18,Male,0.9780892620594865,3,82,98,0
Miss Deanna Price DVM,23,Male,0.5460746422404444,9,59,49,1
Carrie Morris,25,Male,0.8439298916534634,5,91,62,1
Jonathan Hamilton,23,Female,0.6151428627017541,8,63,57,1
Harry Drake PhD,21,Female,0.6723950501923731,14,83,61,1
Ashley Garcia,25,Female,0.5754568967843268,18,93,67,1
Michelle Shelton,23,Male,0.5565845132563445,1,93,90,0
Wendy Horton,25,Male,0.6478061409738485,3,50,95,1
Stephanie Rowe DDS,23,Male,0.5273991403536676,14,65,84,0
Benjamin Swanson,25,Female,0.6754970768810402,11,95,88,0
Dawn Harper,22,Female,0.6830175264146601,10,44,83,0
Christopher Duncan,22,Male,0.5006585917706148,1,94,79,1
Christina Conner MD,20,Female,0.7846903114617754,3,46,78,1
Donna Foster,24,Female,0.95976708965599,13,83,75,0
Kenneth Doyle,20,Male,0.580014606036138,16,80,71,0
Edward Dalton,21,Male,0.8129455040220654,11,58,67,0
Bryan Hunter,25,Female,0.9667026713016365,9,99,63,1
Marc Ross,19,Male,0.9454067800380819,12,40,82,1
Tiffany Brown,19,Female,0.5390363094759314,19,74,92,1
Heather Phelps,21,Male,0.9856313217559727,8,78,99,1
Daniel Munoz,24,Female,0.6347957003367642,17,65,69,1
Debbie King,18,Male,0.6124455994154914,20,60,53,0
Kenneth Riley,19,Male,0.9416598304768888,17,65,87,0
Christopher Burns,25,Male,0.7909753121312453,13,69,63,0
Michael Faulkner,21,Male,0.7828141296253579,4,59,67,1
Sarah Sandoval,19,Female,0.9185864289897533,13,41,67,0
Morgan Herrera,18,Male,0.6601614282461135,16,96,41,0
Colleen Padilla,19,Male,0.6229671041828124,18,91,82,1
Jodi Matthews,22,Male,0.8223670643935713,20,81,69,0
David Adams,18,Female,0.5193865028523309,19,55,51,1
Theresa Peterson,24,Female,0.7690834918968739,20,68,59,1
Shannon Bell,22,Male,0.5081847927434304,9,58,79,0
Joseph Patel,18,Female,0.7440046565509251,0,43,67,0
Erin Torres,21,Male,0.8152640874172139,4,78,62,1
Christopher Andrews,23,Female,0.714161446300174,19,41,88,0
Jessica Norman,20,Female,0.7659027105988432,19,65,86,1
Lisa Pena,20,Male,0.8430167855258008,8,57,76,0
Cody Kent,22,Female,0.9791248375392072,17,57,69,1
Amanda Smith,20,Male,0.5359595875207339,19,73,63,0
Cynthia Donovan,22,Male,0.5023715628683574,14,60,82,0
Dawn Reynolds,21,Male,0.8094035626648357,12,41,87,1
Anthony Levine,19,Male,0.9808265880586685,17,48,89,0
Timothy Day,24,Male,0.7761947783204712,10,77,67,1
Joseph Guzman,19,Male,0.8490311622450899,6,47,89,0
Timothy Erickson,24,Male,0.7234677111910229,9,100,79,0
Timothy Wilson,25,Female,0.7599977746016872,7,68,52,1
Amanda Clark,19,Female,0.9910260386591436,16,84,83,1
Nathaniel Kelley,24,Female,0.6591653961626855,6,96,61,0
Philip Roberts,21,Male,0.872390161252081,18,83,66,1
Madison Phillips PhD,18,Male,0.692776504620787,11,78,43,0
Kyle Duffy,24,Male,0.683916286209876,17,68,58,0
Teresa Larson,23,Female,0.6318253084173464,6,44,60,1
Dr. Dennis Shea MD,19,Male,0.5751417326611149,6,99,78,0
Amy Moran,23,Male,0.7935982073425962,10,40,91,0
Samuel Downs,21,Male,0.838388736716503,0,79,70,1
Stephanie Roy,20,Male,0.5872249682127479,20,81,94,1
Gabriela Haynes,25,Female,0.8137249568914686,17,43,72,0
Traci Lee MD,23,Female,0.9132609532075663,14,44,52,0
Steven Durham,19,Male,0.7387575584346514,1,71,60,1
Stephanie Logan,19,Female,0.5744556699425708,19,42,59,1
Christian Evans,25,Female,0.9813477702031856,17,85,48,1
Scott Russell,18,Male,0.7103256133164,2,66,55,0
Scott White,21,Female,0.6061796309031176,2,50,40,0
Deborah Jordan,23,Female,0.8749091434857732,1,84,81,1
Julia Cox,19,Female,0.7193595505197878,0,69,45,0
Linda Fletcher,20,Female,0.8278370414374256,19,77,94,0
Kevin Gutierrez,24,Male,0.974887097261647,18,88,67,1
Stephanie Parks,25,Female,0.7546097599235017,2,43,45,1
Derek Richardson,21,Female,0.6533752981471448,3,41,65,1
Cheryl Fitzgerald,18,Male,0.6825173783041941,17,93,62,0
Gregory Gomez,23,Male,0.9319469104213152,20,63,95,1
Carmen Zavala,21,Male,0.7572639364075678,7,78,68,0
Ashley Harris,22,Female,0.6279152596531412,10,64,77,1
Amy Buchanan DDS,21,Male,0.9845661283181784,5,86,60,0
Eric Hernandez,21,Female,0.8130798184010767,18,77,88,1
Edward Bell,25,Female,0.7343421847792522,15,72,81,0
James Flores,25,Male,0.5858854309098416,0,100,89,1
Brenda Pope,25,Male,0.91508646966093,14,97,81,0
Laurie Davidson,22,Male,0.798174659336031,8,85,50,1
Samuel Reynolds,20,Male,0.6102605343399745,20,57,53,0
Virginia Hughes,19,Male,0.9717544808371925,3,83,52,0
Andrew Gross,18,Female,0.5335672897194805,9,41,42,0
Anthony Baldwin,22,Female,0.7053660294809424,13,62,45,0
Patrick Cruz MD,25,Female,0.8799567334957452,11,83,91,1
Jodi Ponce,19,Male,0.5879921553407321,4,80,94,1
Mario Davis,24,Male,0.786653555482751,6,68,59,0
Alice Austin,25,Male,0.7616722536176075,19,85,48,1
Denise Bradshaw,25,Male,0.6699758124104757,19,78,53,0
Adam Rojas,24,Female,0.6247431892668124,4,77,88,1
Eric Hurst,21,Male,0.8003304134898156,9,98,69,1
Jennifer Carroll,21,Male,0.5909614319805958,4,40,99,0
William Holt,21,Female,0.7910452322400109,17,54,75,1
Briana Williamson,23,Female,0.5254618535394506,14,57,84,0
Tyler Cooper,25,Female,0.5524647523854855,12,73,65,1
Daniel Gonzales,21,Male,0.6320988978016313,12,48,47,0
Charles Weaver,18,Female,0.8668559077088398,3,66,43,1
David Knight,23,Female,0.94998074464291,17,51,92,0
Dr. Stephanie Oliver,22,Male,0.9633399481202229,20,61,51,1
Phyllis Ford,22,Male,0.8074479746940513,15,89,45,1
Roger Hendricks,25,Female,0.9562347505358388,13,88,74,0
Tyrone Goodman,23,Female,0.8300740136039303,12,97,86,0
Maureen Little,18,Male,0.626476594846227,11,85,51,1
Harry Romero,18,Female,0.6412476563166235,14,91,50,1
Heather Berger,19,Female,0.5513360217066052,13,90,87,1
Ryan Becker,20,Male,0.9007549475800739,5,88,72,1
Glenn Anderson,22,Male,0.7798417349571528,6,82,51,1
Rebecca Garcia,25,Female,0.8636810313462693,18,71,80,0
Todd Lewis,18,Male,0.637790785975727,10,73,96,1
Christine Vasquez,21,Female,0.860796073666253,18,79,51,0
Amy Mullins,19,Female,0.7654976909164557,1,87,74,0
Michael Davidson,23,Female,0.9413700354700358,1,42,62,0
Jeremy Hodge,21,Female,0.9083193459219407,10,84,60,0
William Norris,25,Male,0.6191036412313118,0,44,78,1
Tammy Duffy,25,Female,0.751377224315265,20,87,72,0
John Bishop,23,Male,0.6389722615507195,0,53,82,1
Tina Taylor,20,Female,0.6364385679715105,6,90,89,0
Mariah Mccann,25,Male,0.60283342925601,20,86,72,1
Lance Crosby,21,Female,0.9943039291909888,12,87,71,1
Daniel Miller,25,Male,0.6054308961383806,14,88,82,0
Ryan Walker,18,Female,0.9429396613431232,18,62,86,0
Amanda Lee,21,Male,0.5046493313274687,17,62,44,1
Kristi Johnson,24,Female,0.6184467897489163,15,90,88,0
Jeffrey Noble,24,Male,0.7270588132620177,9,86,97,0
Teresa Rivera,25,Female,0.8657604469541809,9,97,43,0
Nicole Jones,19,Female,0.8585969326557457,19,51,47,0
Melissa Young,24,Male,0.6672650529778656,12,89,94,1
Anthony Edwards,25,Male,0.5488957463647514,7,57,50,1
Bryan Shaffer,22,Female,0.7744299265710209,0,99,62,1
James Raymond,20,Male,0.8843829727696872,20,40,75,0
Rachel Pittman,25,Female,0.8253247630306408,14,46,81,0
Karen Barnes,25,Male,0.7556396022437057,10,72,59,1
Catherine Morrison,18,Female,0.5748563102934231,19,72,74,0
Kathryn Johnson,21,Male,0.7497886045152122,8,96,95,0
Kelly Gamble,18,Female,0.7000047271768381,12,55,83,0
Tonya Li,21,Female,0.6350876837474183,18,96,87,1
Sharon Thompson,20,Male,0.8462704889154926,8,96,64,0
Tracy Ross,19,Male,0.9679491638052475,8,42,49,0
Johnny Santana,19,Male,0.7387972297075015,18,50,53,1
Ian Hughes,21,Male,0.6612557756782442,5,42,54,1
Martha Randall,25,Male,0.5661903454831424,4,44,95,0
Katherine Johnson,22,Male,0.5049905950188027,10,75,98,1
Mary Gonzalez,21,Female,0.9387916707252356,10,74,52,0
Tammy Rios,23,Female,0.7952331191925932,20,83,45,1
Shelby Robertson,20,Male,0.5995117761432203,15,89,67,1
Gerald Williams,19,Male,0.8282275827919214,15,62,46,0
Lawrence Massey,18,Female,0.8813288391863376,7,77,68,1
John Booker,20,Male,0.5132699996073518,10,83,61,0
Kristin Parker,24,Male,0.8617150051347837,0,64,63,0
Jose Cook,24,Male,0.9227970350582924,3,72,57,0
Ashley Bonilla,20,Male,0.8197865567337812,7,82,72,1
Suzanne Pacheco,20,Male,0.5193559224792081,18,54,75,0
Javier Collier,25,Male,0.570205987090971,19,91,70,1
Richard Lawson,25,Male,0.5340756487670071,10,93,40,0
Kristen Keller,20,Female,0.6547914729623696,16,41,80,0
Michael Kelly,20,Male,0.9855748544266614,6,98,60,1
Christopher Brady,20,Female,0.6487992897111621,12,54,40,1
Patricia Henry,23,Female,0.9313881374415954,8,50,95,0
Richard Hopkins,21,Male,0.5789199422752735,2,55,87,0
Andrew Peters,18,Female,0.7469876684109253,5,100,80,0
Derek Ford,23,Male,0.5550632190807077,0,90,47,0
Amanda Black,21,Female,0.9358309426791969,6,84,45,1
Robert Wright,21,Female,0.9415296567990463,5,77,100,1
Sergio Holloway,20,Female,0.7150606527203038,16,57,61,1
Audrey Fitzgerald,18,Female,0.8435894754521066,14,87,47,1
Michelle Shelton,22,Male,0.8768360507909985,0,43,69,1
Paul Dunn,25,Female,0.8339170298817625,15,81,58,1
Kenneth Lewis,25,Female,0.8734162383174797,10,76,70,0
David Johnson,25,Female,0.7505272086379189,12,84,69,0
Stephanie Contreras,20,Male,0.6561058160138344,12,68,40,1
Karen Malone,24,Male,0.7117330845609144,10,64,46,1
Michael Harrison,25,Male,0.8609848139454189,12,49,71,1
Dennis Wolf,20,Male,0.7928601267586198,10,90,44,1
Julie Dunn,24,Male,0.9548777776367253,9,53,92,0
Troy Brown,25,Male,0.9410080601915061,17,43,60,0
William Pierce,24,Male,0.6980936362267152,4,57,74,1
James Cruz,20,Male,0.7263061702843074,7,95,100,1
Dylan Moore,25,Female,0.6079672912278373,0,60,70,0
Jesus Hill,24,Male,0.5420103509319566,3,54,65,1
Stacey Bennett,18,Female,0.7017128497621248,2,52,80,0
Crystal Mitchell,24,Female,0.5683400101443831,3,65,48,0
Kathleen Odom,21,Female,0.8120086835811042,0,68,99,1
Gregory Roberts,21,Male,0.8384548274981161,17,57,58,1
Jose Williams,24,Male,0.7335108975651459,17,40,52,1
Andrew Adams,21,Male,0.5421257396115128,2,47,96,1
Chelsea Lewis,18,Female,0.9636401690038547,15,89,89,1
Michael Brock,21,Male,0.7023865478019121,9,94,59,1
Sandra Castro,23,Female,0.763215338403644,18,69,93,1
Eric Hunter,24,Male,0.9087884691557757,9,76,87,0
Tiffany White,21,Male,0.6088061894185149,11,67,69,0
Nicholas Shah,18,Male,0.9407755597077576,20,47,85,1
Samantha Walker,20,Female,0.6040311107697389,15,98,40,0
Sheila Turner,18,Male,0.922957272940649,16,68,41,0
Leslie Huff,18,Female,0.8642468102898602,0,78,54,1
Joseph Brown,19,Female,0.8139158592078635,12,85,87,0
Kevin Villarreal,23,Female,0.6850398630862649,12,96,96,1
Patrick Cole,23,Female,0.5535495351316837,16,50,83,0
Dave Rodriguez,18,Female,0.9878151863020768,12,70,79,0
John Anderson,23,Female,0.6380499084839333,5,52,57,0
Erik Coleman,24,Female,0.7064351722605686,14,55,91,1
Sandra Conway,23,Male,0.6770241844995717,6,70,47,1
Mason Sanchez,22,Male,0.713373424109764,16,85,48,0
Jeffrey Park,25,Female,0.7994894117023201,5,42,80,0
Eugene Jones,24,Male,0.7169782257065271,19,93,80,0
Frank Hamilton,22,Female,0.5969816405210335,5,91,92,1
Bradley Roach,25,Female,0.9531198578856034,11,75,88,0
Dawn Price,24,Male,0.7593466965056784,5,99,98,1
Brittney Johnson,18,Female,0.576896813534255,13,43,41,1
Brian Knapp,23,Male,0.5988421152434684,13,40,97,1
Erin Pope,19,Female,0.7766763537777283,3,51,42,0
Gregory Harper,23,Female,0.6252734200831109,3,96,41,1
Gregory Wagner,25,Female,0.8163157471749809,16,54,99,1
Andrew Kaiser,25,Female,0.6149401313274063,19,79,89,0
Tyler Short,25,Male,0.5606743115000915,13,73,70,1
Antonio Brennan,24,Female,0.7672649394198534,0,85,70,1
Alexis Adkins,18,Female,0.6203134554977445,14,68,71,1
Victoria Long,24,Female,0.7589446178603327,9,43,94,0
Elizabeth Turner,24,Male,0.7193405836284109,7,67,96,0
Donald Drake,22,Female,0.9728375174710482,8,51,70,0
Thomas Thomas,22,Female,0.6179634806691483,20,88,78,0
Maria Thompson,25,Male,0.5851949455905003,16,47,56,0
James Morgan,25,Male,0.9775289298570975,4,50,53,0
Cody Coleman,20,Male,0.925598856510466,20,48,54,1
Stacey Smith,19,Male,0.5564723566992114,18,80,48,0
Kimberly Schmidt,22,Female,0.5545814875887471,7,80,99,0
Christine Clark,20,Female,0.6672994587895711,17,45,88,0
Audrey Bautista,23,Female,0.6316185421404317,3,87,53,0
John Shields,21,Male,0.7515078936359252,20,75,57,0
Amy Taylor,19,Male,0.5997706510265371,18,71,53,1
Lance Hays,23,Female,0.892379542085092,5,55,41,1
Diana Miller,21,Female,0.7601133399651965,2,59,70,1
Anne Mcconnell,24,Male,0.7871539103338785,11,51,60,1
Shawn Wallace,19,Female,0.9823026979134497,17,67,49,1
Christine Flores,18,Male,0.6135750747410054,11,61,89,0
Kristine Combs,18,Female,0.7184513274053772,16,91,44,1
James Rodriguez,24,Male,0.8290889065678195,3,57,89,0
Yvette Green,24,Female,0.705578857393686,20,40,68,0
Anthony Jackson,25,Female,0.8064873356322557,13,75,64,0
Veronica Henderson,20,Female,0.7418835234246413,8,63,68,0
John Waller,25,Male,0.9091780294893832,15,98,41,0
Sarah Black,18,Male,0.6717551873645635,3,93,41,0
Michelle Johnson,18,Female,0.8749149770208005,4,45,67,0
Jacqueline Nelson,23,Male,0.8988209354918862,0,76,55,1
Laurie Johnson,25,Female,0.7698593953260835,18,70,47,1
Dr. Sonya Mclaughlin,24,Male,0.7599134390538808,10,45,91,0
Edward Burnett,20,Male,0.9548021644213086,5,84,53,1
Kevin Miller,22,Male,0.6308936351650081,13,43,52,0
Ernest Mitchell,19,Female,0.7975893371276109,9,95,51,1
Jacqueline Ibarra,19,Male,0.937496906440924,6,99,42,1
Eugene Richardson,19,Male,0.5429000123049561,17,73,78,1
Brandon Robinson,21,Female,0.8855050439606702,3,47,72,0
Jordan Garcia,24,Female,0.5611507386592363,0,98,62,0
Darryl Barnes,24,Female,0.5319447812208873,3,78,49,1
Jesse Taylor,25,Female,0.902205483996027,7,86,75,0
Holly Jimenez,19,Male,0.7634706632144523,14,86,78,0
Anthony Obrien,24,Female,0.8373066288937887,8,100,81,1
Anthony Johnson,25,Male,0.733421279090559,12,86,96,0
Steven Jackson,20,Female,0.5153010705814635,6,92,99,1
Nancy Lopez,25,Female,0.8643733562649645,9,57,53,0
Douglas Lewis,21,Male,0.7679412682386163,19,45,61,1
Morgan Coleman,19,Male,0.81616661434159,18,80,60,0
Steven May,24,Female,0.8431050015534556,7,52,50,1
Christine Poole,21,Female,0.9593864806900806,11,69,73,1
Diana Johnson,19,Male,0.8671595778655716,1,80,83,0
Lee Crawford,25,Male,0.5848737206077602,8,46,58,1
Jamie Wheeler,25,Male,0.8721110144748523,12,60,56,1
Troy Jordan,20,Female,0.5936491467667728,12,82,98,1
John Jackson,20,Female,0.6603600739975992,14,74,48,0
Brandi Martinez,25,Male,0.5198355692201686,3,77,63,1
Eric Bennett,18,Male,0.6249747680896884,18,61,91,0
Lorraine Garcia,21,Female,0.6822320460347886,14,53,72,1
Nicole Boyd,23,Female,0.9754655028713943,3,80,92,0
Stephen Baker,21,Female,0.992197302594227,11,76,97,0
Peter Martinez,21,Male,0.5691960766068827,7,42,52,0
Daniel Coleman,25,Male,0.7059573905178189,16,84,96,1
Dr. Kristina Park DDS,24,Male,0.8353527964672477,7,62,95,0
Tara Roman,18,Male,0.685383399077744,14,43,66,0
Matthew Bailey,22,Male,0.693322650424558,20,85,81,0
Erika Hahn,25,Male,0.6093652489768864,17,59,93,0
Lisa Harvey,19,Female,0.912131366540179,19,95,55,1
Christopher Reilly,25,Male,0.7679319948680099,1,59,99,0
Jason Suarez,25,Female,0.8604293153350577,14,92,97,0
Anita Rivera,25,Female,0.9811989677082139,4,89,55,1
Brian Williams,18,Male,0.8424374549226386,13,44,51,1
Renee Mosley,21,Male,0.7828188071354147,6,79,48,1
Zoe Phillips,18,Male,0.7415624299707355,11,51,52,1
Steven Key,21,Male,0.5487155077612037,16,46,56,0
Jennifer Kelly,21,Male,0.740280470687246,0,64,64,0
Kenneth Santana,23,Male,0.895254356001794,15,82,70,1
Rachel Hines,23,Female,0.7475804812083532,13,77,61,1
Robert Wang,18,Female,0.8627307872768333,3,95,57,1
Richard Bell,23,Male,0.6961668051846359,5,62,73,0
Megan Jones,20,Female,0.5007807458357956,8,60,54,1
Jeffrey Hammond,25,Female,0.6431218434532859,10,75,41,0
Shawn Henry,25,Male,0.7877512379184326,15,89,51,0
Patricia Reese,19,Female,0.8634757251170129,6,50,82,1
Anna Hines,19,Male,0.979437242020073,16,83,70,0
Colin Brown,21,Male,0.5697888828563407,5,88,100,1
Sheila Rodriguez,19,Male,0.8006536228059484,1,86,80,0
Christopher Brandt,23,Male,0.7832823424296524,9,81,48,0
Dennis Martin,24,Female,0.7418321030323564,13,53,48,0
Patricia Smith,24,Male,0.6229824949706009,18,100,70,1
Molly Williams,18,Male,0.8442336134951274,16,84,57,0
Hannah Cox,25,Female,0.9268959389958177,1,45,71,1
Veronica Harris,18,Male,0.8274026372984093,0,73,78,0
Mark Christian,22,Female,0.5355695196540246,0,45,75,0
Robert Brown,19,Female,0.734835004883312,16,98,96,1
Willie Garcia,19,Female,0.5703469222828832,1,94,71,1
Amanda Hopkins,22,Female,0.845191603660728,10,77,81,0
Donald Walton,25,Male,0.9153090604294069,6,52,63,1
Tonya Thompson,25,Female,0.719859281171747,0,59,83,1
Jennifer Schmidt,20,Male,0.7335337736725001,1,40,89,1
Patrick Thompson,18,Female,0.5243125554511312,1,46,77,1
Amanda Martin,21,Female,0.5788300619419116,16,59,99,1
Bradley Leach,19,Male,0.6980428976920029,9,44,53,1
Katherine Snyder,25,Male,0.5057341709789926,6,69,97,0
Robert Thomas,19,Male,0.7740917844892885,15,70,93,1
Jonathan Henry,22,Male,0.788598786547237,1,96,41,0
Michael Moore,24,Male,0.9793149486539712,11,77,63,0
Wesley Gray,21,Female,0.8009799606183816,13,69,86,0
Alejandra Williams,24,Female,0.5185588251838801,13,54,86,0
Dustin Flores,23,Male,0.9264912772486039,13,71,63,0
Jeffrey Martinez,25,Female,0.5763911241323763,13,49,52,1
Christopher Taylor,21,Female,0.7992592080946399,19,69,43,0
Elaine Maddox,19,Female,0.7833987810697725,16,70,66,1
Jacob Gordon,22,Female,0.585864279927879,16,49,94,1
William Spears,18,Male,0.5368437437231514,1,64,82,1
Matthew Mcintosh,19,Female,0.9089805729197316,8,49,54,0
Sara Ward,23,Male,0.9289565404501116,1,59,93,1
Wanda West,25,Female,0.9443601225642979,20,77,89,1
Samantha Ortiz,18,Male,0.6848570723152126,8,90,92,1
